key, value, date
China, 170897, 1980
China, 342058, 1990
China, 591711, 2000
China, 67634, 2010
China, 83603, 2011
China, 78184, 2012
China, 68410, 2013
Hong Kong, 0, 1820
Hong Kong, 0, 1830
Hong Kong, 0, 1840
Hong Kong, 0, 1850
Hong Kong, 0, 1860
Hong Kong, 0, 1870
Hong Kong, 0, 1880
Hong Kong, 0, 1890
Hong Kong, 0, 1900
Hong Kong, 0, 1910
Hong Kong, 0, 1920
Hong Kong, 0, 1930
Hong Kong, 0, 1940
Hong Kong, 13781, 1950
Hong Kong, 67047, 1960
Hong Kong, 117350, 1970
Hong Kong, 112132, 1980
Hong Kong, 116894, 1990
Hong Kong, 57583, 2000
Hong Kong, 3263, 2010
Hong Kong, 3149, 2011
Hong Kong, 2642, 2012
Hong Kong, 2614, 2013
India, 9, 1820
India, 38, 1830
India, 33, 1840
India, 42, 1850
India, 50, 1860
India, 166, 1870
India, 247, 1880
India, 102, 1890
India, 3026, 1900
India, 3478, 1910
India, 2076, 1920
India, 554, 1930
India, 1692, 1940
India, 1922, 1950
India, 18638, 1960
India, 148018, 1970
India, 231649, 1980
India, 352528, 1990
India, 590464, 2000
India, 66185, 2010
India, 66331, 2011
India, 63320, 2012
India, 65506, 2013
Iran, 0, 1820
Iran, 0, 1830
Iran, 7, 1840
Iran, 0, 1850
Iran, 4, 1860
Iran, 17, 1870
Iran, 18, 1880
Iran, 26, 1890
Iran, 0, 1900
Iran, 0, 1910
Iran, 208, 1920
Iran, 198, 1930
Iran, 1144, 1940
Iran, 3195, 1950
Iran, 9059, 1960
Iran, 33763, 1970
Iran, 98141, 1980
Iran, 76899, 1990
Iran, 76755, 2000
Iran, 9078, 2010
Iran, 9015, 2011
Iran, 8955, 2012
Iran, 9658, 2013
Israel, 0, 1820
Israel, 0, 1830
Israel, 0, 1840
Israel, 0, 1850
Israel, 0, 1860
Israel, 0, 1870
Israel, 0, 1880
Israel, 0, 1890
Israel, 0, 1900
Israel, 0, 1910
Israel, 0, 1920
Israel, 0, 1930
Israel, 98, 1940
Israel, 21376, 1950
Israel, 30911, 1960
Israel, 36306, 1970
Israel, 43669, 1980
Israel, 41340, 1990
Israel, 54081, 2000
Israel, 5172, 2010
Israel, 4389, 2011
Israel, 4640, 2012
Israel, 4555, 2013
Japan, 0, 1820
Japan, 0, 1830
Japan, 0, 1840
Japan, 0, 1850
Japan, 138, 1860
Japan, 193, 1870
Japan, 1583, 1880
Japan, 13998, 1890
Japan, 139712, 1900
Japan, 77125, 1910
Japan, 42057, 1920
Japan, 2683, 1930
Japan, 1557, 1940
Japan, 41968, 1950
Japan, 40956, 1960
Japan, 52812, 1970
Japan, 44150, 1980
Japan, 66582, 1990
Japan, 84552, 2000
Japan, 7100, 2010
Japan, 6751, 2011
Japan, 6581, 2012
Japan, 6383, 2013
Jordan, 0, 1820
Jordan, 0, 1830
Jordan, 0, 1840
Jordan, 0, 1850
Jordan, 0, 1860
Jordan, 0, 1870
Jordan, 0, 1880
Jordan, 0, 1890
Jordan, 0, 1900
Jordan, 0, 1910
Jordan, 0, 1920
Jordan, 0, 1930
Jordan, 3, 1940
Jordan, 4919, 1950
Jordan, 9230, 1960
Jordan, 25541, 1970
Jordan, 28928, 1980
Jordan, 42755, 1990
Jordan, 53550, 2000
Jordan, 9327, 2010
Jordan, 8211, 2011
Jordan, 7014, 2012
Jordan, 5949, 2013
Korea, 0, 1820
Korea, 0, 1830
Korea, 0, 1840
Korea, 0, 1850
Korea, 0, 1860
Korea, 0, 1870
Korea, 0, 1880
Korea, 0, 1890
Korea, 0, 1900
Korea, 0, 1910
Korea, 0, 1920
Korea, 0, 1930
Korea, 83, 1940
Korea, 4845, 1950
Korea, 27048, 1960
Korea, 241192, 1970
Korea, 322708, 1980
Korea, 179770, 1990
Korea, 209758, 2000
Korea, 22022, 2010
Korea, 22748, 2011
Korea, 20802, 2012
Korea, 22937, 2013
Philippines, 0, 1820
Philippines, 0, 1830
Philippines, 0, 1840
Philippines, 0, 1850
Philippines, 0, 1860
Philippines, 4, 1870
Philippines, 1, 1880
Philippines, 19, 1890
Philippines, 605, 1900
Philippines, 0, 1910
Philippines, 0, 1920
Philippines, 457, 1930
Philippines, 4099, 1940
Philippines, 17245, 1950
Philippines, 70660, 1960
Philippines, 337726, 1970
Philippines, 502056, 1980
Philippines, 534338, 1990
Philippines, 545463, 2000
Philippines, 56399, 2010
Philippines, 55251, 2011
Philippines, 55441, 2012
Philippines, 52955, 2013
Syria, 0, 1820
Syria, 0, 1830
Syria, 0, 1840
Syria, 0, 1850
Syria, 2, 1860
Syria, 7, 1870
Syria, 140, 1880
Syria, 0, 1890
Syria, 0, 1900
Syria, 0, 1910
Syria, 5307, 1920
Syria, 2188, 1930
Syria, 1179, 1940
Syria, 1091, 1950
Syria, 2432, 1960
Syria, 8086, 1970
Syria, 14534, 1980
Syria, 22906, 1990
Syria, 30807, 2000
Syria, 7424, 2010
Syria, 7983, 2011
Syria, 6674, 2012
Syria, 3999, 2013
Taiwan, 0, 1820
Taiwan, 0, 1830
Taiwan, 0, 1840
Taiwan, 0, 1850
Taiwan, 0, 1860
Taiwan, 0, 1870
Taiwan, 0, 1880
Taiwan, 0, 1890
Taiwan, 0, 1900
Taiwan, 0, 1910
Taiwan, 0, 1920
Taiwan, 0, 1930
Taiwan, 0, 1940
Taiwan, 721, 1950
Taiwan, 15657, 1960
Taiwan, 83155, 1970
Taiwan, 119051, 1980
Taiwan, 132647, 1990
Taiwan, 92657, 2000
Taiwan, 6785, 2010
Taiwan, 6206, 2011
Taiwan, 5295, 2012
Taiwan, 5336, 2013
Turkey, 19, 1820
Turkey, 8, 1830
Turkey, 45, 1840
Turkey, 94, 1850
Turkey, 129, 1860
Turkey, 382, 1870
Turkey, 2478, 1880
Turkey, 27510, 1890
Turkey, 127999, 1900
Turkey, 160717, 1910
Turkey, 40374, 1920
Turkey, 1314, 1930
Turkey, 754, 1940
Turkey, 2980, 1950
Turkey, 9464, 1960
Turkey, 12209, 1970
Turkey, 19208, 1980
Turkey, 38687, 1990
Turkey, 48394, 2000
Turkey, 7435, 2010
Turkey, 9040, 2011
Turkey, 7362, 2012
Turkey, 7189, 2013
Vietnam, 0, 1820
Vietnam, 0, 1830
Vietnam, 0, 1840
Vietnam, 0, 1850
Vietnam, 0, 1860
Vietnam, 0, 1870
Vietnam, 0, 1880
Vietnam, 0, 1890
Vietnam, 0, 1900
Vietnam, 0, 1910
Vietnam, 0, 1920
Vietnam, 0, 1930
Vietnam, 0, 1940
Vietnam, 290, 1950
Vietnam, 2949, 1960
Vietnam, 121716, 1970
Vietnam, 200632, 1980
Vietnam, 275379, 1990
Vietnam, 289616, 2000
Vietnam, 30065, 2010
Vietnam, 33486, 2011
Vietnam, 27578, 2012
Vietnam, 26578, 2013
Other Asia, 3, 1820
Other Asia, 1, 1830
Other Asia, 4, 1840
Other Asia, 11, 1850
Other Asia, 57, 1860
Other Asia, 163, 1870
Other Asia, 888, 1880
Other Asia, 4381, 1890
Other Asia, 9215, 1900
Other Asia, 7500, 1910
Other Asia, 6070, 1920
Other Asia, 6024, 1930
Other Asia, 7851, 1940
Other Asia, 12675, 1950
Other Asia, 40452, 1960
Other Asia, 171025, 1970
Other Asia, 483601, 1980
Other Asia, 637116, 1990
Other Asia, 745444, 2000
Other Asia, 112320, 2010
Other Asia, 122417, 2011
Other Asia, 122000, 2012
Other Asia, 107232, 2013
America, 9656, 1820
America, 31911, 1830
America, 50527, 1840
America, 84201, 1850
America, 130427, 1860
America, 345889, 1870
America, 529845, 1880
America, 38756, 1890
America, 277882, 1900
America, 1070539, 1910
America, 1591278, 1920
America, 230319, 1930
America, 328435, 1940
America, 921644, 1950
America, 1674185, 1960
America, 1903636, 1970
America, 2694504, 1980
America, 5137142, 1990
America, 4441529, 2000
America, 426981, 2010
America, 423277, 2011
America, 409664, 2012
America, 399380, 2013
Canada and Newfoundland, 2297, 1820
Canada and Newfoundland, 11875, 1830
Canada and Newfoundland, 34285, 1840
Canada and Newfoundland, 64171, 1850
Canada and Newfoundland, 117975, 1860
Canada and Newfoundland, 323974, 1870
Canada and Newfoundland, 492508, 1880
Canada and Newfoundland, 2668, 1890
Canada and Newfoundland, 123067, 1900
Canada and Newfoundland, 708715, 1910
Canada and Newfoundland, 949286, 1920
Canada and Newfoundland, 162703, 1930
Canada and Newfoundland, 160911, 1940
Canada and Newfoundland, 353169, 1950
Canada and Newfoundland, 433128, 1960
Canada and Newfoundland, 179267, 1970
Canada and Newfoundland, 156313, 1980
Canada and Newfoundland, 194788, 1990
Canada and Newfoundland, 236349, 2000
Canada and Newfoundland, 19491, 2010
Canada and Newfoundland, 19506, 2011
Canada and Newfoundland, 20138, 2012
Canada and Newfoundland, 20489, 2013
Mexico, 3835, 1820
Mexico, 7187, 1830
Mexico, 3069, 1840
Mexico, 3446, 1850
Mexico, 1957, 1860
Mexico, 5133, 1870
Mexico, 2405, 1880
Mexico, 734, 1890
Mexico, 31188, 1900
Mexico, 185334, 1910
Mexico, 498945, 1920
Mexico, 32709, 1930
Mexico, 56158, 1940
Mexico, 273847, 1950
Mexico, 441824, 1960
Mexico, 621218, 1970
Mexico, 1009586, 1980
Mexico, 2757418, 1990
Mexico, 1704166, 2000
Mexico, 138717, 2010
Mexico, 142823, 2011
Mexico, 145326, 2012
Mexico, 134198, 2013
Caribbean, 3061, 1820
Caribbean, 11792, 1830
Caribbean, 11803, 1840
Caribbean, 12447, 1850
Caribbean, 8809, 1860
Caribbean, 14592, 1870
Caribbean, 27600, 1880
Caribbean, 31885, 1890
Caribbean, 100960, 1900
Caribbean, 120860, 1910
Caribbean, 83482, 1920
Caribbean, 18052, 1930
Caribbean, 46285, 1940
Caribbean, 115869, 1950
Caribbean, 427843, 1960
Caribbean, 708643, 1970
Caribbean, 789343, 1980
Caribbean, 1004114, 1990
Caribbean, 1053357, 2000
Caribbean, 139389, 2010
Caribbean, 133012, 2011
Caribbean, 126615, 2012
Caribbean, 121349, 2013
Cuba, 0, 1820
Cuba, 0, 1830
Cuba, 0, 1840
Cuba, 0, 1850
Cuba, 3420, 1860
Cuba, 8705, 1870
Cuba, 20134, 1880
Cuba, 23669, 1890
Cuba, 0, 1900
Cuba, 0, 1910
Cuba, 12769, 1920
Cuba, 10641, 1930
Cuba, 25976, 1940
Cuba, 73221, 1950
Cuba, 202030, 1960
Cuba, 256497, 1970
Cuba, 132552, 1980
Cuba, 159037, 1990
Cuba, 271742, 2000
Cuba, 33372, 2010
Cuba, 36261, 2011
Cuba, 32551, 2012
Cuba, 31343, 2013
Dominican Republic, 0, 1820
Dominican Republic, 0, 1830
Dominican Republic, 0, 1840
